now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate,snd_cwnd,snd_una
1404251,1305824,1376,341250,473,477049,950,0,0,0,2790769408,7528979,958.0,
1404269,1319584,1376,336377,474,479494,960,0,0,0,2790769408,7560910,959.0,
1404292,1320960,1376,336400,484,479494,961,0,0,0,2790769408,7661113,969.0,
1404307,1327840,1376,325930,485,484385,966,0,0,0,2790769408,7701324,970.0,
1404324,1329216,1376,325947,487,493462,967,0,0,0,2790769408,7772367,975.0,
1404340,1333344,1376,324490,488,493462,970,0,0,0,2790769408,7835023,976.0,
1404356,1348480,1376,319664,481,479602,981,0,0,0,2790769408,7909116,979.0,
1404414,1359488,1376,315849,492,479602,989,0,0,0,2790769408,8045631,990.0,
1404432,1362240,1376,312257,499,487840,991,0,0,0,2790769408,8170587,998.0,
1404447,1367744,1376,310341,500,491450,995,0,0,0,2790769408,8260335,1000.0,
1404463,1369120,1376,310357,497,489057,996,0,0,0,2790769408,8360410,1004.0,
1428820,1373248,1376,332793,498,489537,999,0,0,0,2790979936,8432943,1005.0,
1428858,1387008,1376,328050,501,490498,1009,0,0,0,2790979936,8439515,1008.0,
1428881,1388384,1376,328073,496,489574,1010,0,0,0,2790979936,8509849,1018.0,
1429203,1392512,1376,326522,497,489574,1013,0,0,0,2790979936,8521890,1019.0,
1429219,1409024,1376,320921,500,490510,1025,0,0,0,2790979936,8552206,1022.0,
1429242,1422784,1376,316292,512,491447,1035,0,0,0,2790979936,8660290,1034.0,
1429260,1436544,1376,312192,517,480694,1045,0,0,0,2790979936,8769507,1044.0,
1429278,1439296,1376,311299,521,482927,1047,0,0,0,2790979936,8891883,1054.0,
1429294,1440672,1376,310404,523,487027,1048,0,0,0,2790979936,8959944,1056.0,
1429309,1444800,1376,309508,524,487938,1051,0,0,0,2790979936,9016871,1057.0,
1429325,1459936,1376,304097,527,487938,1062,0,0,0,2790979936,9085351,1060.0,
1429355,1469568,1376,301421,532,488233,1069,0,0,0,2790979936,9224400,1071.0,
1429390,1472320,1376,280947,539,491841,1071,0,0,0,2790979936,9340944,1078.0,
1429406,1473696,1376,280510,540,514082,1072,0,0,0,2790979936,9495241,1080.0,
1429420,1475072,1376,280524,540,514535,1073,0,0,0,2790979936,9629023,1081.0,
1429436,1483328,1376,277802,541,514535,1079,0,0,0,2790979936,9750073,1082.0,
1434016,1487456,1376,280555,538,503747,1082,0,0,0,2791040480,9908653,1088.0,
1435892,1491584,1376,281517,541,506488,1085,0,0,0,2791050112,10021828,1091.0,
1435934,1492960,1376,280646,544,507401,1086,0,0,0,2791050112,10121847,1094.0,
1436225,1494336,1376,280937,545,509228,1087,0,0,0,2791059744,10203127,1095.0,
1443205,1495712,1376,287003,546,509228,1088,0,0,0,2791124416,10275097,1096.0,
1443249,1498464,1376,286590,547,510142,1090,0,0,0,2791124416,10313194,1097.0,
1447269,1513600,1376,271725,549,510599,1101,0,0,0,2791169824,10359139,1099.0,
1447337,1514976,1376,271793,551,523275,1102,0,0,0,2791179456,10535356,1110.0,
1447355,1516352,1376,270886,552,526050,1103,0,0,0,2791179456,10628035,1111.0,
1447395,1517728,1376,270926,553,526975,1104,0,0,0,2791179456,10715792,1112.0,
1447411,1521856,1376,269092,554,526975,1107,0,0,0,2791179456,10794667,1113.0,
1447427,1538368,1376,260867,557,527900,1119,0,0,0,2791179456,10889638,1116.0,
1447448,1546624,1376,258118,561,521330,1125,0,0,0,2791179456,11070141,1128.0,
1447466,1552128,1376,256322,559,517255,1129,0,0,0,2791179456,11226758,1134.0,
1447494,1559008,1376,254537,563,517255,1134,0,0,0,2791179456,11367773,1138.0,
1447511,1565888,1376,252298,566,520393,1139,0,0,0,2791179456,11517774,1143.0,
1447527,1567264,1376,251412,571,521295,1140,0,0,0,2791179456,11672067,1148.0,
1453129,1571392,1376,256137,561,512821,1143,0,0,0,2791222112,11787069,1149.0,
1453183,1586528,1376,250966,564,512821,1154,0,0,0,2791222112,11880121,1152.0,
1453209,1596160,1376,248415,566,512329,1161,0,0,0,2791222112,12058760,1163.0,
1453226,1604416,1376,245855,573,514047,1167,0,0,0,2791222112,12214309,1170.0,
1453243,1607168,1376,245012,579,517483,1169,0,0,0,2791222112,12371033,1176.0,
1453260,1611296,1376,243311,581,520061,1172,0,0,0,2791222112,12491118,1178.0,
1455175,1618176,1376,243508,584,520920,1177,0,0,0,2791257888,12616276,1181.0,
